l1 0.093501, l2 0.119783, l3 0.0940253
0.69 , 37.2365 , -113.348 , 34.2325
0.7 , -2.16166 , -107.489 , 0
0.7 , 37.2365 , -113.348 , 34.2325
0.71 , -0.688882 , -107.561 , 0
0.71 , 37.2365 , -113.348 , 34.2325
0.72 , -0.142527 , -107.584 , 0
0.72 , 37.2365 , -113.348 , 34.2325
0.73 , 1.18773 , -107.608 , 0
0.73 , 37.2365 , -113.348 , 34.2325
0.74 , 2.89805 , -107.608 , 0
0.74 , 37.2365 , -113.348 , 34.2325
0.75 , 3.11184 , -107.608 , 0
0.75 , 37.2365 , -113.348 , 34.2325
0.76 , 3.3969 , -107.656 , 0
0.76 , 37.2365 , -113.348 , 34.2325
0.77 , 4.65589 , -107.703 , 0
0.77 , 37.2365 , -113.348 , 34.2325
0.78 , 6.2712 , -107.822 , 0
0.78 , 37.2365 , -113.348 , 34.2325
0.79 , 6.38997 , -108.178 , 0
0.79 , 37.2365 , -113.348 , 34.2325
0.8 , 6.72253 , -108.226 , 0
0.8 , 37.2365 , -113.348 , 34.2325
0.81 , 8.33784 , -108.416 , 0
0.81 , 37.2365 , -113.348 , 34.2325
0.82 , 10.1669 , -109.081 , 0
0.82 , 37.2365 , -113.348 , 34.2325
0.83 , 10.3095 , -109.081 , 0
0.83 , 37.2365 , -113.348 , 34.2325
0.84 , 10.642 , -109.318 , 0
0.84 , 37.2365 , -113.348 , 34.2325
0.85 , 12.3048 , -109.817 , 0
0.85 , 37.2365 , -113.348 , 34.2325
0.86 , 13.9677 , -109.888 , 0
0.86 , 37.2365 , -113.348 , 34.2325
0.87 , 14.0152 , -109.865 , 0
0.87 , 37.2365 , -113.348 , 34.2325
0.88 , 14.0152 , -110.055 , 0
0.88 , 37.2365 , -113.348 , 34.2325
0.89 , 14.0389 , -110.174 , 0
0.89 , 37.2365 , -113.348 , 34.2325
0.9 , 14.1102 , -110.387 , 0
0.9 , 37.2365 , -113.348 , 34.2325
0.91 , 14.3952 , -110.767 , 0
0.91 , 37.2365 , -113.348 , 34.2325
0.92 , 15.6067 , -110.981 , 0
0.92 , 37.2365 , -113.348 , 34.2325
0.93 , 17.5546 , -111.694 , 0
0.93 , 37.2365 , -113.348 , 34.2325
0.94 , 18.3623 , -111.718 , 0
0.94 , 37.2365 , -113.348 , 34.2325
0.95 , 19.0749 , -111.836 , 0
0.95 , 37.2365 , -113.348 , 34.2325
0.96 , 20.5002 , -112.169 , 0
0.96 , 37.2365 , -113.348 , 34.2325
0.97 , 20.6664 , -112.288 , 0
0.97 , 37.2365 , -113.348 , 34.2325
0.98 , 20.9515 , -112.501 , 0
0.98 , 37.2365 , -113.348 , 34.2325
0.99 , 21.9254 , -112.501 , 0
0.99 , 37.2365 , -113.348 , 34.2325
1 , 22.5668 , -112.525 , 0
1 , 37.2365 , -113.348 , 34.2325
1.01 , 22.9231 , -112.597 , 0
1.01 , 37.2365 , -113.348 , 34.2325
1.02 , 24.1109 , -112.739 , 0
1.02 , 37.2365 , -113.348 , 34.2325
1.03 , 25.2511 , -112.953 , 0
1.03 , 37.2365 , -113.348 , 34.2325
1.04 , 25.2748 , -113.214 , 0
1.04 , 37.2365 , -113.348 , 34.2325
1.05 , 25.6787 , -113.262 , 0
1.05 , 37.2365 , -113.348 , 34.2325
1.06 , 26.3913 , -113.357 , 0
1.06 , 37.2365 , -113.348 , 34.2325
1.07 , 26.3913 , -113.357 , 0
1.07 , 37.2365 , -113.348 , 34.2325
1.08 , 26.6526 , -113.357 , 0
1.08 , 37.2365 , -113.348 , 34.2325
1.09 , 26.9614 , -113.333 , 0
1.09 , 37.2365 , -113.348 , 34.2325
1.1 , 27.1039 , -113.38 , 0
1.1 , 37.2365 , -113.348 , 34.2325
1.11 , 27.6978 , -113.38 , 0
1.11 , 37.2365 , -113.348 , 34.2325
1.12 , 28.0304 , -113.357 , 0
1.12 , 37.2365 , -113.348 , 34.2325
1.13 , 28.3392 , -113.404 , 0
1.13 , 37.2365 , -113.348 , 34.2325
1.14 , 29.1706 , -113.404 , 0
1.14 , 37.2365 , -113.348 , 34.2325
1.15 , 29.3369 , -113.428 , 0
1.15 , 37.2365 , -113.348 , 34.2325
1.16 , 29.5506 , -113.428 , 0
1.16 , 37.2365 , -113.348 , 34.2325
1.17 , 29.8119 , -113.404 , 0
1.17 , 37.2365 , -113.348 , 34.2325
1.18 , 30.0257 , -113.38 , 0
1.18 , 37.2365 , -113.348 , 34.2325
1.19 , 30.5008 , -113.404 , 0
1.19 , 37.2365 , -113.348 , 34.2325
1.2 , 30.5483 , -113.38 , 0
1.2 , 37.2365 , -113.348 , 34.2325
1.21 , 30.9522 , -113.404 , 0
1.21 , 37.2365 , -113.348 , 34.2325
1.22 , 31.6886 , -113.404 , 0
1.22 , 37.2365 , -113.348 , 34.2325
1.23 , 31.7123 , -113.404 , 0
1.23 , 37.2365 , -113.348 , 34.2325
1.24 , 32.0211 , -113.38 , 0
1.24 , 37.2365 , -113.348 , 34.2325
1.25 , 32.4249 , -113.404 , 0
1.25 , 37.2365 , -113.348 , 34.2325
1.26 , 32.4725 , -113.452 , 0
1.26 , 37.2365 , -113.348 , 34.2325
1.27 , 32.5675 , -113.428 , 0
1.27 , 37.2365 , -113.348 , 34.2325
1.28 , 32.7575 , -113.428 , 0
1.28 , 37.2365 , -113.348 , 34.2325
1.29 , 32.8288 , -113.428 , 0
1.29 , 37.2365 , -113.348 , 34.2325
1.3 , 32.8525 , -113.404 , 0
1.3 , 37.2365 , -113.348 , 34.2325
1.31 , 33.0188 , -113.428 , 0
1.31 , 37.2365 , -113.348 , 34.2325
1.32 , 33.1376 , -113.428 , 0
1.32 , 37.2365 , -113.348 , 34.2325
1.33 , 33.3276 , -113.499 , 0
1.33 , 37.2365 , -113.348 , 34.2325
1.34 , 33.6839 , -113.404 , 0
1.34 , 37.2365 , -113.348 , 34.2325
1.35 , 33.7552 , -113.452 , 0
1.35 , 37.2365 , -113.348 , 34.2325
1.36 , 33.9215 , -113.452 , 0
1.36 , 37.2365 , -113.348 , 34.2325
1.37 , 33.9215 , -113.428 , 0
1.37 , 37.2365 , -113.348 , 34.2325
1.38 , 34.0165 , -113.475 , 0
1.38 , 37.2365 , -113.348 , 34.2325
1.39 , 34.0403 , -113.428 , 0
1.39 , 37.2365 , -113.348 , 34.2325
1.4 , 34.064 , -113.452 , 0
1.4 , 37.2365 , -113.348 , 34.2325
1.41 , 34.1115 , -113.428 , 0
1.41 , 37.2365 , -113.348 , 34.2325
1.42 , 34.1353 , -113.428 , 0
1.42 , 37.2365 , -113.348 , 34.2325
1.43 , 34.3253 , -113.38 , 0
1.43 , 37.2365 , -113.348 , 34.2325
1.44 , 34.3966 , -113.452 , 0
1.44 , 37.2365 , -113.348 , 34.2325
1.45 , 34.5153 , -113.452 , 0
1.45 , 37.2365 , -113.348 , 34.2325
1.46 , 34.6579 , -113.428 , 0
1.46 , 37.2365 , -113.348 , 34.2325
1.47 , 34.8004 , -113.452 , 0
1.47 , 37.2365 , -113.348 , 34.2325
1.48 , 34.9667 , -113.475 , 0
1.48 , 37.2365 , -113.348 , 34.2325
1.49 , 35.1092 , -113.452 , 0
1.49 , 37.2365 , -113.348 , 34.2325
1.5 , 35.3468 , -113.452 , 0
1.5 , 37.2365 , -113.348 , 34.2325
1.51 , 35.3705 , -113.452 , 0
1.51 , 37.2365 , -113.348 , 34.2325
1.52 , 35.418 , -113.428 , 0
1.52 , 37.2365 , -113.348 , 34.2325
1.53 , 35.4655 , -113.404 , 0
1.53 , 37.2365 , -113.348 , 34.2325
1.54 , 35.513 , -113.452 , 0
1.54 , 37.2365 , -113.348 , 34.2325
1.55 , 35.5368 , -113.428 , 0
1.55 , 37.2365 , -113.348 , 34.2325
1.56 , 35.6318 , -113.428 , 0
1.56 , 37.2365 , -113.348 , 34.2325
1.57 , 35.6318 , -113.475 , 0
1.57 , 37.2365 , -113.348 , 34.2325
1.58 , 35.6556 , -113.428 , 0
1.58 , 37.2365 , -113.348 , 34.2325
1.59 , 35.6556 , -113.475 , 0
1.59 , 37.2365 , -113.348 , 34.2325
1.6 , 35.6556 , -113.475 , 0
1.6 , 37.2365 , -113.348 , 34.2325
1.61 , 35.7506 , -113.452 , 0
1.61 , 37.2365 , -113.348 , 34.2325
1.62 , 35.7981 , -113.475 , 0
1.62 , 37.2365 , -113.348 , 34.2325
1.63 , 35.9406 , -113.428 , 0
1.63 , 37.2365 , -113.348 , 34.2325
1.64 , 36.0119 , -113.499 , 0
1.64 , 37.2365 , -113.348 , 34.2325
1.65 , 36.0356 , -113.452 , 0
1.65 , 37.2365 , -113.348 , 34.2325
1.66 , 36.0831 , -113.452 , 0
1.66 , 37.2365 , -113.348 , 34.2325
1.67 , 36.1306 , -113.452 , 0
1.67 , 37.2365 , -113.348 , 34.2325
1.68 , 36.1544 , -113.475 , 0
1.68 , 37.2365 , -113.348 , 34.2325
1.69 , 36.2732 , -113.475 , 0
1.69 , 37.2365 , -113.348 , 34.2325
1.7 , 36.3919 , -113.452 , 0
1.7 , 37.2365 , -113.348 , 34.2325
1.71 , 36.487 , -113.452 , 0
1.71 , 37.2365 , -113.348 , 34.2325
1.72 , 36.5345 , -113.428 , 0
1.72 , 37.2365 , -113.348 , 34.2325
1.73 , 36.6295 , -113.452 , 0
1.73 , 37.2365 , -113.348 , 34.2325
1.74 , 36.7008 , -113.452 , 0
1.74 , 37.2365 , -113.348 , 34.2325
1.75 , 36.8195 , -113.475 , 0
