l1 0.093501, l2 0.119783, l3 0.0940253
0.65 , 37.2365 , -113.348 , 34.2325
0.66 , 32.0211 , -113.499 , 33.5414
0.66 , 37.2365 , -113.348 , 34.2325
0.67 , 31.9974 , -113.642 , 33.5889
0.67 , 37.2365 , -113.348 , 34.2325
0.68 , 32.615 , -113.642 , 33.5652
0.68 , 37.2365 , -113.348 , 34.2325
0.69 , 33.6602 , -113.665 , 33.5652
0.69 , 37.2365 , -113.348 , 34.2325
0.7 , 34.064 , -113.689 , 33.6127
0.7 , 37.2365 , -113.348 , 34.2325
0.71 , 34.064 , -113.665 , 33.6127
0.71 , 37.2365 , -113.348 , 34.2325
0.72 , 34.159 , -113.665 , 33.5889
0.72 , 37.2365 , -113.348 , 34.2325
0.73 , 34.3491 , -113.665 , 33.5652
0.73 , 37.2365 , -113.348 , 34.2325
0.74 , 34.9192 , -113.689 , 33.6364
0.74 , 37.2365 , -113.348 , 34.2325
0.75 , 35.9406 , -113.665 , 33.6127
0.75 , 37.2365 , -113.348 , 34.2325
0.76 , 36.7483 , -113.642 , 33.6127
0.76 , 37.2365 , -113.348 , 34.2325
0.77 , 36.7245 , -113.665 , 33.5652
0.77 , 37.2365 , -113.348 , 34.2325
0.78 , 36.7245 , -113.689 , 33.5652
0.78 , 37.2365 , -113.348 , 34.2325
0.79 , 36.8195 , -113.642 , 33.6364
0.79 , 37.2365 , -113.348 , 34.2325
0.8 , 37.1046 , -113.665 , 33.7552
0.8 , 37.2365 , -113.348 , 34.2325
0.81 , 37.1996 , -113.618 , 33.6839
0.81 , 37.2365 , -113.348 , 34.2325
0.82 , 37.2234 , -113.642 , 33.7077
0.82 , 37.2365 , -113.348 , 34.2325
0.83 , 37.2471 , -113.642 , 33.7552
0.83 , 37.2365 , -113.348 , 34.2325
0.84 , 37.2471 , -113.642 , 33.8027
0.84 , 37.2365 , -113.348 , 34.2325
0.85 , 37.2234 , -113.689 , 33.779
0.85 , 37.2365 , -113.348 , 34.2325
0.86 , 37.2471 , -113.665 , 33.8502
0.86 , 37.2365 , -113.348 , 34.2325
0.87 , 37.2234 , -113.665 , 33.874
0.87 , 37.2365 , -113.348 , 34.2325
0.88 , 37.2709 , -113.642 , 33.8502
0.88 , 37.2365 , -113.348 , 34.2325
0.89 , 37.3184 , -113.642 , 33.874
0.89 , 37.2365 , -113.348 , 34.2325
0.9 , 37.2946 , -113.642 , 34.0165
0.9 , 37.2365 , -113.348 , 34.2325
0.91 , 37.2946 , -113.618 , 34.1353
0.91 , 37.2365 , -113.348 , 34.2325
0.92 , 37.2709 , -113.642 , 34.1115
0.92 , 37.2365 , -113.348 , 34.2325
0.93 , 37.2946 , -113.642 , 34.1115
0.93 , 37.2365 , -113.348 , 34.2325
0.94 , 37.2946 , -113.665 , 34.1115
0.94 , 37.2365 , -113.348 , 34.2325
0.95 , 37.2946 , -113.642 , 34.1115
0.95 , 37.2365 , -113.348 , 34.2325
0.96 , 37.2709 , -113.642 , 34.1353
0.96 , 37.2365 , -113.348 , 34.2325
0.97 , 37.2946 , -113.642 , 34.2303
0.97 , 37.2365 , -113.348 , 34.2325
0.98 , 37.2709 , -113.642 , 34.1828
0.98 , 37.2365 , -113.348 , 34.2325
0.99 , 37.2709 , -113.665 , 34.2065
0.99 , 37.2365 , -113.348 , 34.2325
1 , 37.2709 , -113.618 , 34.2065
1 , 37.2365 , -113.348 , 34.2325
1.01 , 37.2946 , -113.642 , 34.2065
1.01 , 37.2365 , -113.348 , 34.2325
1.02 , 37.2946 , -113.57 , 34.2065
1.02 , 37.2365 , -113.348 , 34.2325
1.03 , 37.2946 , -113.594 , 34.2065
1.03 , 37.2365 , -113.348 , 34.2325
1.04 , 37.2946 , -113.594 , 34.2303
1.04 , 37.2365 , -113.348 , 34.2325
1.05 , 37.2946 , -113.665 , 34.2303
1.05 , 37.2365 , -113.348 , 34.2325
1.06 , 37.2946 , -113.642 , 34.1828
1.06 , 37.2365 , -113.348 , 34.2325
1.07 , 37.2946 , -113.642 , 34.2303
1.07 , 37.2365 , -113.348 , 34.2325
1.08 , 37.2946 , -113.642 , 34.2778
1.08 , 37.2365 , -113.348 , 34.2325
1.09 , 37.2946 , -113.618 , 34.2303
1.09 , 37.2365 , -113.348 , 34.2325
1.1 , 37.2946 , -113.642 , 34.254
1.1 , 37.2365 , -113.348 , 34.2325
1.11 , 37.2946 , -113.618 , 34.2303
1.11 , 37.2365 , -113.348 , 34.2325
1.12 , 37.2946 , -113.642 , 34.2303
1.12 , 37.2365 , -113.348 , 34.2325
1.13 , 37.2946 , -113.594 , 34.254
1.13 , 37.2365 , -113.348 , 34.2325
1.14 , 37.2946 , -113.642 , 34.3253
1.14 , 37.2365 , -113.348 , 34.2325
1.15 , 37.2946 , -113.642 , 34.2065
1.15 , 37.2365 , -113.348 , 34.2325
1.16 , 37.2946 , -113.618 , 34.2303
1.16 , 37.2365 , -113.348 , 34.2325
1.17 , 37.2946 , -113.618 , 34.254
1.17 , 37.2365 , -113.348 , 34.2325
1.18 , 37.2946 , -113.594 , 34.2778
1.18 , 37.2365 , -113.348 , 34.2325
1.19 , 37.2946 , -113.594 , 34.3966
1.19 , 37.2365 , -113.348 , 34.2325
1.2 , 37.2946 , -113.642 , 34.3966
1.2 , 37.2365 , -113.348 , 34.2325
1.21 , 37.2946 , -113.618 , 34.4678
1.21 , 37.2365 , -113.348 , 34.2325
1.22 , 37.2946 , -113.57 , 34.4203
1.22 , 37.2365 , -113.348 , 34.2325
1.23 , 37.2946 , -113.618 , 34.4203
1.23 , 37.2365 , -113.348 , 34.2325
1.24 , 37.2709 , -113.618 , 34.4203
1.24 , 37.2365 , -113.348 , 34.2325
1.25 , 37.2946 , -113.618 , 34.4203
1.25 , 37.2365 , -113.348 , 34.2325
1.26 , 37.2946 , -113.594 , 34.4203
1.26 , 37.2365 , -113.348 , 34.2325
1.27 , 37.2946 , -113.594 , 34.3966
1.27 , 37.2365 , -113.348 , 34.2325
1.28 , 37.2946 , -113.642 , 34.4441
1.28 , 37.2365 , -113.348 , 34.2325
1.29 , 37.2946 , -113.594 , 34.4203
1.29 , 37.2365 , -113.348 , 34.2325
1.3 , 37.2709 , -113.594 , 34.4678
1.3 , 37.2365 , -113.348 , 34.2325
1.31 , 37.2946 , -113.547 , 34.4203
1.31 , 37.2365 , -113.348 , 34.2325
1.32 , 37.3421 , -113.57 , 34.3966
1.32 , 37.2365 , -113.348 , 34.2325
1.33 , 37.2471 , -113.594 , 34.4441
1.33 , 37.2365 , -113.348 , 34.2325
1.34 , 37.2946 , -113.594 , 34.4203
1.34 , 37.2365 , -113.348 , 34.2325
1.35 , 37.2709 , -113.594 , 34.3966
1.35 , 37.2365 , -113.348 , 34.2325
1.36 , 37.2946 , -113.594 , 34.4203
1.36 , 37.2365 , -113.348 , 34.2325
1.37 , 37.2946 , -113.57 , 34.4441
1.37 , 37.2365 , -113.348 , 34.2325
1.38 , 37.2946 , -113.594 , 34.3966
1.38 , 37.2365 , -113.348 , 34.2325
1.39 , 37.2946 , -113.594 , 34.3966
