0, -nan, -nan, -nan, -nan
3.475, 1, 1, -1.01419, 0.0141594
3.5, 1, 1, -1.01343, 0.0134743
3.525, 1, 1, -1.01333, 0.0132567
3.55, 1, 1, -1.01333, 0.0132567
3.575, 1, 1, -1.01333, 0.0132567
3.6, 1, 1, -1.01333, 0.0132567
3.625, 1, 1, -1.01367, 0.0133854
3.65, 1, 1, -1.01367, 0.0133639
3.675, 1, 1, -1.01367, 0.0133639
3.7, 1, 1, -1.01358, 0.013233
3.725, 1, 1, -1.01358, 0.013233
3.75, 1, 1, -1.01348, 0.0130282
3.775, 1, 1, -1.01348, 0.0130282
3.8, 1, 1, -1.01344, 0.0128976
3.825, 1, 1, -1.01344, 0.0128976
3.85, 1, 1, -1.01344, 0.0128976
3.875, 1, 1, -1.01344, 0.0128976
3.9, 1, 1, -1.01344, 0.0128976
3.925, 1, 1, -1.01344, 0.0128976
3.95, 1, 1, -1.01441, 0.0139311
3.975, 1, 1, -1.01441, 0.0139311
4, 1, 1, -1.01456, 0.0141336
4.025, 1, 1, -1.01456, 0.0141336
4.05, 1, 1, -1.01456, 0.0141336
4.075, 1, 1, -1.01456, 0.0141336
4.1, 1, 1, -1.01456, 0.0141336
4.125, 1, 1, -1.01594, 0.0156041
4.15, 1, 1, -1.01581, 0.0155606
4.175, 1, 1, -1.01581, 0.0155606
4.2, 1, 1, -1.01619, 0.0160197
4.225, 1, 1, -1.01616, 0.0160754
4.25, 1, 1, -1.01624, 0.0162546
4.275, 1, 1, -1.01624, 0.0162546
4.3, 1, 1, -1.01624, 0.0162546
4.325, 1, 1, -1.01624, 0.0162546
4.35, 1, 1, -1.01624, 0.0162546
4.375, 1, 1, -1.02003, 0.0201584
4.4, 1, 1, -1.02003, 0.0201584
4.425, 1, 1, -1.02264, 0.0229699
4.45, 1, 1, -1.02264, 0.0229699
4.475, 1, 1, -1.02546, 0.0259352
4.5, 1, 1, -1.02653, 0.0271166
4.525, 1, 1, -1.02701, 0.0276586
4.55, 1, 1, -1.0272, 0.027883
4.575, 1, 1, -1.02722, 0.0279059
4.6, 1, 1, -1.02722, 0.0279059
4.625, 1, 1, -1.02748, 0.0282521
4.65, 1, 1, -1.02748, 0.0282521
4.675, 1, 1, -1.02748, 0.0282521
4.7, 1, 1, -1.02748, 0.0282521
4.725, 1, 1, -1.02748, 0.0282521
4.75, 1, 1, -1.02748, 0.0282521
4.775, 1, 1, -1.02834, 0.0291517
4.8, 1, 1, -1.02834, 0.0291517
4.825, 1, 1, -1.02834, 0.0291517
4.85, 1, 1, -1.02834, 0.0291517
4.875, 1, 1, -1.02808, 0.0289013
4.9, 1, 1, -1.02808, 0.0289013
4.925, 1, 1, -1.02807, 0.0289034
4.95, 1, 1, -1.02807, 0.0289034
4.975, 1, 1, -1.02807, 0.0289034
5, 1, 1, -1.02807, 0.0289034
5.025, 1, 1, -1.02807, 0.0289034
5.05, 1, 1, -1.02807, 0.0289034
5.075, 1, 1, -1.02807, 0.0289034
5.1, 1, 1, -1.02807, 0.0289034
5.125, 1, 1, -1.02807, 0.0289034
5.15, 1, 1, -1.02807, 0.0289034
5.175, 1, 1, -1.02901, 0.0298268
5.2, 1, 1, -1.02887, 0.0296267
5.225, 1, 1, -1.02887, 0.0296267
5.25, 1, 1, -1.02887, 0.0296267
5.275, 1, 1, -1.02887, 0.0296267
5.3, 1, 1, -1.03028, 0.0309848
