0.01 , -9.81235
0.02 , -11.2842
0.03 , -12.1305
0.04 , -12.737
0.05 , -13.2147
0.06 , -13.6111
0.07 , -13.9514
0.08 , -14.2504
0.09 , -14.5175
0.1 , -14.7595
0.11 , -14.9809
0.12 , -15.1852
0.13 , -15.375
0.14 , -15.5524
0.15 , -15.719
0.16 , -15.8762
0.17 , -16.0251
0.18 , -16.1665
0.19 , -16.3012
0.2 , -16.4299
0.21 , -16.5091
0.22 , -16.6207
0.23 , -16.7306
0.24 , -16.8373
0.25 , -16.9408
0.26 , -17.041
0.27 , -17.05
0.28 , -17.131
0.29 , -17.2149
0.3 , -17.2983
0.31 , -17.3804
0.32 , -17.4609
0.33 , -17.4957
0.34 , -17.5663
0.35 , -17.6379
0.36 , -17.709
0.37 , -17.7809
0.38 , -17.8533
0.39 , -17.794
0.4 , -17.8474
0.41 , -17.9094
0.42 , -17.9749
0.43 , -18.0423
0.44 , -18.0229
0.45 , -18.0793
0.46 , -18.1419
0.47 , -18.2073
0.48 , -18.2742
0.49 , -18.3423
0.5 , -18.279
0.51 , -18.3287
0.52 , -18.3873
0.53 , -18.4496
0.54 , -18.514
0.55 , -18.5798
0.56 , -18.4705
0.57 , -18.5117
0.58 , -18.5648
0.59 , -18.6228
0.6 , -18.6835
0.61 , -18.746
0.62 , -18.6338
0.63 , -18.6723
0.64 , -18.7228
0.65 , -18.7784
0.66 , -18.8368
0.67 , -18.8972
0.68 , -18.7828
0.69 , -18.8193
0.7 , -18.868
0.71 , -18.9217
0.72 , -18.9783
0.73 , -19.037
0.74 , -18.9209
0.75 , -18.9558
0.76 , -19.0028
0.77 , -19.0549
0.78 , -19.1099
0.79 , -19.167
0.8 , -18.9614
0.81 , -18.9815
0.82 , -19.0194
0.83 , -19.0645
0.84 , -19.1139
0.85 , -19.166
0.86 , -18.9998
0.87 , -19.0225
0.88 , -19.0604
0.89 , -19.1047
0.9 , -19.1528
0.91 , -19.2034
0.92 , -18.9477
0.93 , -18.9555
0.94 , -18.9841
0.95 , -19.0213
0.96 , -19.0634
0.97 , -19.1087
0.98 , -18.8923
0.99 , -18.9022
1 , -18.9305
1.01 , -18.9665
1.02 , -19.007
1.03 , -18.7423
1.04 , -18.7419
1.05 , -18.763
1.06 , -18.793
1.07 , -18.8283
1.08 , -18.8672
1.09 , -18.6004
1.1 , -18.5978
1.11 , -18.6164
1.12 , -18.644
1.13 , -18.6769
1.14 , -18.7133
1.15 , -18.4
1.16 , -18.3882
1.17 , -18.4006
1.18 , -18.423
1.19 , -18.4512
1.2 , -18.4834
1.21 , -18.1661
1.22 , -18.1506
1.23 , -18.1594
1.24 , -18.1782
1.25 , -18.203
1.26 , -18.2319
1.27 , -17.9114
1.28 , -17.8927
1.29 , -17.8983
1.3 , -17.9141
1.31 , -17.9359
1.32 , -17.9617
1.33 , -17.5942
1.34 , -17.5659
1.35 , -17.5648
1.36 , -17.575
