l1 0.093501, l2 0.119783, l3 0.0940253
0.65 , 0.308809 , -6.34246 , 4.20455
0.65 , 37.2365 , -113.348 , 34.2325
0.66 , 0.380073 , -6.46123 , 4.22831
0.66 , 37.2365 , -113.348 , 34.2325
0.67 , 0.926427 , -6.65127 , 4.22831
0.67 , 37.2365 , -113.348 , 34.2325
0.68 , 1.37776 , -6.88882 , 4.22831
0.68 , 37.2365 , -113.348 , 34.2325
0.69 , 1.40152 , -7.5777 , 4.29957
0.69 , 37.2365 , -113.348 , 34.2325
0.7 , 1.37776 , -8.55163 , 4.25206
0.7 , 37.2365 , -113.348 , 34.2325
0.71 , 1.35401 , -10.6658 , 4.27582
0.71 , 37.2365 , -113.348 , 34.2325
0.72 , 1.37776 , -12.9937 , 4.22831
0.72 , 37.2365 , -113.348 , 34.2325
0.73 , 1.37776 , -14.7278 , 4.25206
0.73 , 37.2365 , -113.348 , 34.2325
0.74 , 1.37776 , -15.4642 , 4.25206
0.74 , 37.2365 , -113.348 , 34.2325
0.75 , 1.37776 , -16.0581 , 4.27582
0.75 , 37.2365 , -113.348 , 34.2325
0.76 , 1.90036 , -17.1745 , 4.25206
0.76 , 37.2365 , -113.348 , 34.2325
0.77 , 2.82679 , -18.4573 , 4.27582
0.77 , 37.2365 , -113.348 , 34.2325
0.78 , 2.96932 , -18.6711 , 4.27582
0.78 , 37.2365 , -113.348 , 34.2325
0.79 , 3.04058 , -18.6711 , 4.27582
0.79 , 37.2365 , -113.348 , 34.2325
0.8 , 3.3969 , -18.6711 , 4.32333
0.8 , 37.2365 , -113.348 , 34.2325
0.81 , 3.80073 , -18.6711 , 4.29957
0.81 , 37.2365 , -113.348 , 34.2325
0.82 , 3.9195 , -18.6948 , 4.34708
0.82 , 37.2365 , -113.348 , 34.2325
0.83 , 4.32333 , -18.7186 , 4.34708
0.83 , 37.2365 , -113.348 , 34.2325
0.84 , 5.20224 , -18.7423 , 4.37083
0.84 , 37.2365 , -113.348 , 34.2325
0.85 , 5.51105 , -18.7423 , 4.37083
0.85 , 37.2365 , -113.348 , 34.2325
0.86 , 5.70109 , -18.7423 , 4.41834
0.86 , 37.2365 , -113.348 , 34.2325
0.87 , 6.48499 , -18.7661 , 4.46585
0.87 , 37.2365 , -113.348 , 34.2325
0.88 , 6.81755 , -18.7423 , 4.46585
