l1 0.093501, l2 0.119783, l3 0.0940253
0.66 , 32.8763 , -109.413 , 29.3131
0.66 , 37.2365 , -113.348 , 34.2325
0.67 , 32.9 , -109.39 , 29.3131
0.67 , 37.2365 , -113.348 , 34.2325
0.68 , 32.9 , -109.39 , 29.3131
0.68 , 37.2365 , -113.348 , 34.2325
0.69 , 32.9 , -109.413 , 29.3606
0.69 , 37.2365 , -113.348 , 34.2325
0.7 , 32.9 , -109.39 , 29.3606
0.7 , 37.2365 , -113.348 , 34.2325
0.71 , 32.9 , -109.413 , 29.3606
0.71 , 37.2365 , -113.348 , 34.2325
0.72 , 32.8763 , -109.413 , 29.3606
0.72 , 37.2365 , -113.348 , 34.2325
0.73 , 32.9 , -109.413 , 29.3606
0.73 , 37.2365 , -113.348 , 34.2325
0.74 , 32.9238 , -109.413 , 29.3844
0.74 , 37.2365 , -113.348 , 34.2325
0.75 , 32.9238 , -109.39 , 29.3606
0.75 , 37.2365 , -113.348 , 34.2325
0.76 , 32.9 , -109.413 , 29.3844
0.76 , 37.2365 , -113.348 , 34.2325
0.77 , 32.8763 , -109.413 , 29.3844
0.77 , 37.2365 , -113.348 , 34.2325
0.78 , 32.9 , -109.413 , 29.4081
0.78 , 37.2365 , -113.348 , 34.2325
0.79 , 32.9 , -109.39 , 29.3844
0.79 , 37.2365 , -113.348 , 34.2325
0.8 , 32.8763 , -109.461 , 29.3844
0.8 , 37.2365 , -113.348 , 34.2325
0.81 , 32.9 , -109.461 , 29.3844
0.81 , 37.2365 , -113.348 , 34.2325
0.82 , 32.8763 , -109.461 , 29.4081
0.82 , 37.2365 , -113.348 , 34.2325
0.83 , 32.9 , -109.461 , 29.4081
0.83 , 37.2365 , -113.348 , 34.2325
0.84 , 32.9238 , -109.461 , 29.4081
0.84 , 37.2365 , -113.348 , 34.2325
0.85 , 32.9238 , -109.485 , 29.4794
0.85 , 37.2365 , -113.348 , 34.2325
0.86 , 32.9 , -109.485 , 29.4794
0.86 , 37.2365 , -113.348 , 34.2325
0.87 , 32.9 , -109.485 , 29.4794
0.87 , 37.2365 , -113.348 , 34.2325
0.88 , 32.9 , -109.485 , 29.5031
0.88 , 37.2365 , -113.348 , 34.2325
0.89 , 32.9 , -109.461 , 29.5031
0.89 , 37.2365 , -113.348 , 34.2325
0.9 , 32.9238 , -109.461 , 29.5031
0.9 , 37.2365 , -113.348 , 34.2325
0.91 , 32.9 , -109.485 , 29.5506
0.91 , 37.2365 , -113.348 , 34.2325
0.92 , 32.9 , -109.508 , 29.5506
0.92 , 37.2365 , -113.348 , 34.2325
0.93 , 32.9475 , -109.485 , 29.5269
0.93 , 37.2365 , -113.348 , 34.2325
0.94 , 32.8763 , -109.508 , 29.5506
0.94 , 37.2365 , -113.348 , 34.2325
