l1 0.093501, l2 0.119783, l3 0.0940253
0.64 , 37.2365 , -113.348 , 34.2325
0.65 , 16.6044 , -26.415 , 14.7278
0.65 , 37.2365 , -113.348 , 34.2325
0.66 , 17.127 , -28.8855 , 14.6565
0.66 , 37.2365 , -113.348 , 34.2325
0.67 , 18.5998 , -29.8595 , 16.4619
0.67 , 37.2365 , -113.348 , 34.2325
0.68 , 19.4075 , -29.8832 , 16.5332
0.68 , 37.2365 , -113.348 , 34.2325
0.69 , 19.6688 , -30.0732 , 16.6994
0.69 , 37.2365 , -113.348 , 34.2325
0.7 , 20.3576 , -30.5721 , 16.7469
0.7 , 37.2365 , -113.348 , 34.2325
0.71 , 20.6189 , -30.8571 , 16.8657
0.71 , 37.2365 , -113.348 , 34.2325
0.72 , 20.8802 , -31.7836 , 17.2933
0.72 , 37.2365 , -113.348 , 34.2325
0.73 , 21.9729 , -33.5414 , 17.4833
0.73 , 37.2365 , -113.348 , 34.2325
0.74 , 22.2818 , -35.3468 , 18.2435
0.74 , 37.2365 , -113.348 , 34.2325
0.75 , 22.4243 , -35.6556 , 18.8136
0.75 , 37.2365 , -113.348 , 34.2325
0.76 , 22.6143 , -35.6556 , 18.9324
0.76 , 37.2365 , -113.348 , 34.2325
0.77 , 22.7806 , -35.7981 , 19.2412
0.77 , 37.2365 , -113.348 , 34.2325
0.78 , 23.4695 , -36.4632 , 18.3623
0.78 , 37.2365 , -113.348 , 34.2325
0.79 , 23.8733 , -37.9597 , 20.714
0.79 , 37.2365 , -113.348 , 34.2325
0.8 , 24.2771 , -39.1475 , 21.0228
0.8 , 37.2365 , -113.348 , 34.2325
0.81 , 25.3698 , -39.195 , 20.6427
0.81 , 37.2365 , -113.348 , 34.2325
0.82 , 25.8212 , -39.4325 , 22.4955
0.82 , 37.2365 , -113.348 , 34.2325
0.83 , 26.2013 , -40.6678 , 22.6856
0.83 , 37.2365 , -113.348 , 34.2325
0.84 , 26.6526 , -42.6394 , 22.6381
0.84 , 37.2365 , -113.348 , 34.2325
0.85 , 26.6526 , -43.3758 , 22.7568
0.85 , 37.2365 , -113.348 , 34.2325
0.86 , 26.9376 , -43.3995 , 22.9469
0.86 , 37.2365 , -113.348 , 34.2325
0.87 , 27.6978 , -43.4946 , 23.0419
0.87 , 37.2365 , -113.348 , 34.2325
0.88 , 27.8403 , -44.2785 , 23.0419
0.88 , 37.2365 , -113.348 , 34.2325
0.89 , 27.9116 , -45.7037 , 23.2557
0.89 , 37.2365 , -113.348 , 34.2325
0.9 , 28.0304 , -46.8677 , 23.3507
0.9 , 37.2365 , -113.348 , 34.2325
0.91 , 28.1966 , -48.0792 , 23.4695
0.91 , 37.2365 , -113.348 , 34.2325
0.92 , 28.2917 , -48.4593 , 23.5407
0.92 , 37.2365 , -113.348 , 34.2325
0.93 , 28.8143 , -48.483 , 23.5407
0.93 , 37.2365 , -113.348 , 34.2325
0.94 , 29.3606 , -48.4593 , 23.5883
0.94 , 37.2365 , -113.348 , 34.2325
0.95 , 29.3369 , -48.5068 , 23.6358
0.95 , 37.2365 , -113.348 , 34.2325
0.96 , 29.3844 , -48.4593 , 23.612
0.96 , 37.2365 , -113.348 , 34.2325
0.97 , 29.5982 , -48.6968 , 23.6358
0.97 , 37.2365 , -113.348 , 34.2325
0.98 , 29.8357 , -49.6232 , 23.6595
0.98 , 37.2365 , -113.348 , 34.2325
0.99 , 30.2395 , -50.3596 , 23.6595
0.99 , 37.2365 , -113.348 , 34.2325
1 , 30.6909 , -51.7374 , 23.6833
1 , 37.2365 , -113.348 , 34.2325
1.01 , 30.6909 , -53.5665 , 23.6358
1.01 , 37.2365 , -113.348 , 34.2325
1.02 , 30.7621 , -55.1818 , 23.7545
1.02 , 37.2365 , -113.348 , 34.2325
1.03 , 31.1184 , -56.6783 , 23.707
1.03 , 37.2365 , -113.348 , 34.2325
1.04 , 31.356 , -58.5074 , 23.7783
1.04 , 37.2365 , -113.348 , 34.2325
1.05 , 31.7123 , -61.8806 , 23.7545
1.05 , 37.2365 , -113.348 , 34.2325
1.06 , 32.0211 , -63.1871 , 23.6595
1.06 , 37.2365 , -113.348 , 34.2325
1.07 , 32.3299 , -63.4721 , 23.7783
1.07 , 37.2365 , -113.348 , 34.2325
1.08 , 32.4962 , -64.6123 , 23.7308
1.08 , 37.2365 , -113.348 , 34.2325
1.09 , 32.615 , -65.705 , 23.7308
1.09 , 37.2365 , -113.348 , 34.2325
1.1 , 33.0663 , -65.7526 , 23.7545
1.1 , 37.2365 , -113.348 , 34.2325
1.11 , 33.1613 , -66.1564 , 23.7545
1.11 , 37.2365 , -113.348 , 34.2325
1.12 , 33.1851 , -67.4629 , 23.7783
1.12 , 37.2365 , -113.348 , 34.2325
1.13 , 33.4464 , -69.4108 , 23.7783
1.13 , 37.2365 , -113.348 , 34.2325
1.14 , 33.5889 , -69.6483 , 23.7783
1.14 , 37.2365 , -113.348 , 34.2325
1.15 , 33.6364 , -69.8621 , 23.802
1.15 , 37.2365 , -113.348 , 34.2325
1.16 , 33.779 , -71.4774 , 23.7545
1.16 , 37.2365 , -113.348 , 34.2325
1.17 , 33.8265 , -73.2352 , 23.6833
1.17 , 37.2365 , -113.348 , 34.2325
1.18 , 33.8502 , -73.4253 , 23.7545
1.18 , 37.2365 , -113.348 , 34.2325
1.19 , 33.874 , -74.5417 , 23.7783
1.19 , 37.2365 , -113.348 , 34.2325
1.2 , 34.064 , -76.0858 , 23.802
1.2 , 37.2365 , -113.348 , 34.2325
1.21 , 34.1115 , -76.5134 , 23.8496
1.21 , 37.2365 , -113.348 , 34.2325
1.22 , 34.1115 , -78.6275 , 23.8496
1.22 , 37.2365 , -113.348 , 34.2325
1.23 , 34.1353 , -81.003 , 23.7783
1.23 , 37.2365 , -113.348 , 34.2325
1.24 , 34.1828 , -81.0267 , 23.7783
1.24 , 37.2365 , -113.348 , 34.2325
1.25 , 34.2303 , -81.0742 , 23.802
1.25 , 37.2365 , -113.348 , 34.2325
1.26 , 34.3016 , -81.5731 , 23.802
1.26 , 37.2365 , -113.348 , 34.2325
1.27 , 34.8004 , -82.5233 , 23.8733
1.27 , 37.2365 , -113.348 , 34.2325
1.28 , 35.1567 , -83.2834 , 23.7545
1.28 , 37.2365 , -113.348 , 34.2325
1.29 , 35.1805 , -83.5922 , 23.802
1.29 , 37.2365 , -113.348 , 34.2325
1.3 , 35.228 , -84.6374 , 23.7783
1.3 , 37.2365 , -113.348 , 34.2325
1.31 , 35.323 , -85.0412 , 23.7783
