l1 0.093501, l2 0.119783, l3 0.0940253
0.65 , 37.2365 , -113.348 , 34.2325
0.66 , -14.6803 , -102.382 , 38.7199
0.66 , 37.2365 , -113.348 , 34.2325
0.67 , -14.609 , -102.145 , 38.6486
0.67 , 37.2365 , -113.348 , 34.2325
0.68 , -13.7776 , -102.026 , 38.6724
0.68 , 37.2365 , -113.348 , 34.2325
0.69 , -10.6183 , -102.715 , 38.3636
0.69 , 37.2365 , -113.348 , 34.2325
0.7 , -9.83438 , -101.883 , 37.4847
0.7 , 37.2365 , -113.348 , 34.2325
0.71 , -9.4068 , -101.266 , 37.4847
0.71 , 37.2365 , -113.348 , 34.2325
0.72 , -6.60376 , -101.693 , 37.4371
0.72 , 37.2365 , -113.348 , 34.2325
0.73 , -6.55625 , -100.981 , 37.1758
0.73 , 37.2365 , -113.348 , 34.2325
0.74 , -6.41372 , -103.712 , 36.6532
0.74 , 37.2365 , -113.348 , 34.2325
0.75 , -5.27351 , -103.427 , 36.6057
0.75 , 37.2365 , -113.348 , 34.2325
0.76 , -5.17849 , -103.879 , 36.6295
0.76 , 37.2365 , -113.348 , 34.2325
0.77 , -5.24975 , -104.211 , 36.4632
0.77 , 37.2365 , -113.348 , 34.2325
0.78 , -4.06203 , -104.282 , 35.9881
0.78 , 37.2365 , -113.348 , 34.2325
0.79 , -3.87199 , -105.328 , 36.0594
0.79 , 37.2365 , -113.348 , 34.2325
0.8 , -3.53943 , -106.23 , 35.8694
0.8 , 37.2365 , -113.348 , 34.2325
0.81 , -2.96932 , -105.494 , 35.7268
0.81 , 37.2365 , -113.348 , 34.2325
0.82 , -2.68426 , -108.131 , 35.5368
0.82 , 37.2365 , -113.348 , 34.2325
0.83 , -0.831409 , -108.083 , 35.3943
0.83 , 37.2365 , -113.348 , 34.2325
0.84 , -0.356318 , -108.534 , 35.418
0.84 , 37.2365 , -113.348 , 34.2325
0.85 , 0.237545 , -108.82 , 34.9667
0.85 , 37.2365 , -113.348 , 34.2325
0.86 , 2.58924 , -109.081 , 35.2517
0.86 , 37.2365 , -113.348 , 34.2325
0.87 , 2.39921 , -109.627 , 35.4655
0.87 , 37.2365 , -113.348 , 34.2325
0.88 , 3.01683 , -110.055 , 35.3705
0.88 , 37.2365 , -113.348 , 34.2325
0.89 , 3.99076 , -110.007 , 35.513
0.89 , 37.2365 , -113.348 , 34.2325
0.9 , 3.96701 , -110.126 , 35.4893
0.9 , 37.2365 , -113.348 , 34.2325
0.91 , 4.25206 , -110.15 , 35.3468
0.91 , 37.2365 , -113.348 , 34.2325
0.92 , 4.89343 , -110.102 , 35.1092
0.92 , 37.2365 , -113.348 , 34.2325
0.93 , 6.05741 , -110.245 , 35.1805
0.93 , 37.2365 , -113.348 , 34.2325
0.94 , 6.05741 , -110.197 , 35.323
0.94 , 37.2365 , -113.348 , 34.2325
0.95 , 7.07885 , -110.245 , 34.8954
0.95 , 37.2365 , -113.348 , 34.2325
0.96 , 7.76773 , -110.411 , 35.133
0.96 , 37.2365 , -113.348 , 34.2325
0.97 , 7.00759 , -110.387 , 34.2065
0.97 , 37.2365 , -113.348 , 34.2325
0.98 , 9.31178 , -110.435 , 35.7031
0.98 , 37.2365 , -113.348 , 34.2325
0.99 , 9.21676 , -110.411 , 35.7981
0.99 , 37.2365 , -113.348 , 34.2325
1 , 9.38304 , -110.577 , 35.7981
1 , 37.2365 , -113.348 , 34.2325
1.01 , 10.0719 , -110.625 , 35.8456
1.01 , 37.2365 , -113.348 , 34.2325
1.02 , 10.2382 , -110.862 , 35.8218
1.02 , 37.2365 , -113.348 , 34.2325
1.03 , 10.4995 , -110.934 , 35.8456
1.03 , 37.2365 , -113.348 , 34.2325
1.04 , 11.6635 , -110.91 , 35.7981
1.04 , 37.2365 , -113.348 , 34.2325
1.05 , 11.2121 , -110.957 , 35.7981
1.05 , 37.2365 , -113.348 , 34.2325
1.06 , 11.521 , -110.957 , 35.5843
1.06 , 37.2365 , -113.348 , 34.2325
1.07 , 14.4903 , -110.981 , 35.3705
1.07 , 37.2365 , -113.348 , 34.2325
1.08 , 13.6589 , -111.1 , 35.5368
1.08 , 37.2365 , -113.348 , 34.2325
1.09 , 14.1815 , -111.124 , 35.5843
1.09 , 37.2365 , -113.348 , 34.2325
1.1 , 15.8443 , -111.1 , 35.4893
1.1 , 37.2365 , -113.348 , 34.2325
1.11 , 15.1316 , -111.219 , 35.5368
1.11 , 37.2365 , -113.348 , 34.2325
1.12 , 15.8443 , -111.219 , 35.3705
1.12 , 37.2365 , -113.348 , 34.2325
1.13 , 16.7469 , -111.219 , 35.323
1.13 , 37.2365 , -113.348 , 34.2325
1.14 , 16.6044 , -111.338 , 35.1805
1.14 , 37.2365 , -113.348 , 34.2325
1.15 , 17.6021 , -111.266 , 35.2042
1.15 , 37.2365 , -113.348 , 34.2325
1.16 , 17.9822 , -111.599 , 35.3705
1.16 , 37.2365 , -113.348 , 34.2325
1.17 , 18.0297 , -111.599 , 35.2042
1.17 , 37.2365 , -113.348 , 34.2325
1.18 , 20.5477 , -111.623 , 35.2517
1.18 , 37.2365 , -113.348 , 34.2325
1.19 , 20.0963 , -111.86 , 34.8242
1.19 , 37.2365 , -113.348 , 34.2325
1.2 , 20.8802 , -112.121 , 35.3468
1.2 , 37.2365 , -113.348 , 34.2325
1.21 , 22.0917 , -112.193 , 34.5629
1.21 , 37.2365 , -113.348 , 34.2325
1.22 , 21.6404 , -112.644 , 35.7506
1.22 , 37.2365 , -113.348 , 34.2325
1.23 , 21.9492 , -113.19 , 35.7268
1.23 , 37.2365 , -113.348 , 34.2325
1.24 , 22.4005 , -113.072 , 35.6793
1.24 , 37.2365 , -113.348 , 34.2325
1.25 , 21.6879 , -113.238 , 35.7981
1.25 , 37.2365 , -113.348 , 34.2325
1.26 , 21.8779 , -113.048 , 35.9169
1.26 , 37.2365 , -113.348 , 34.2325
1.27 , 21.2128 , -113.214 , 35.8694
1.27 , 37.2365 , -113.348 , 34.2325
1.28 , 20.999 , -113.262 , 35.9169
1.28 , 37.2365 , -113.348 , 34.2325
1.29 , 22.8756 , -113.309 , 35.8931
1.29 , 37.2365 , -113.348 , 34.2325
1.3 , 22.7093 , -113.57 , 35.9169
1.3 , 37.2365 , -113.348 , 34.2325
1.31 , 22.7093 , -113.784 , 35.8456
1.31 , 37.2365 , -113.348 , 34.2325
1.32 , 22.8994 , -113.903 , 35.8218
1.32 , 37.2365 , -113.348 , 34.2325
1.33 , 22.8756 , -113.855 , 35.7268
1.33 , 37.2365 , -113.348 , 34.2325
1.34 , 23.1132 , -113.879 , 35.6793
1.34 , 37.2365 , -113.348 , 34.2325
1.35 , 24.1346 , -114.069 , 35.513
1.35 , 37.2365 , -113.348 , 34.2325
1.36 , 24.0633 , -114.117 , 35.2992
1.36 , 37.2365 , -113.348 , 34.2325
1.37 , 24.5622 , -114.331 , 35.2042
1.37 , 37.2365 , -113.348 , 34.2325
1.38 , 25.5836 , -114.307 , 35.228
1.38 , 37.2365 , -113.348 , 34.2325
1.39 , 25.4649 , -114.307 , 35.0379
1.39 , 37.2365 , -113.348 , 34.2325
1.4 , 25.5599 , -114.782 , 34.9667
1.4 , 37.2365 , -113.348 , 34.2325
1.41 , 25.6074 , -115.305 , 34.9904
1.41 , 37.2365 , -113.348 , 34.2325
1.42 , 25.94 , -115.328 , 34.7054
1.42 , 37.2365 , -113.348 , 34.2325
1.43 , 26.3913 , -115.352 , 34.7291
1.43 , 37.2365 , -113.348 , 34.2325
1.44 , 26.3675 , -115.376 , 34.5391
1.44 , 37.2365 , -113.348 , 34.2325
1.45 , 26.5576 , -115.376 , 34.5153
1.45 , 37.2365 , -113.348 , 34.2325
1.46 , 27.0802 , -115.328 , 34.1828
1.46 , 37.2365 , -113.348 , 34.2325
1.47 , 27.2227 , -115.328 , 34.5391
1.47 , 37.2365 , -113.348 , 34.2325
1.48 , 27.2227 , -115.328 , 34.4678
1.48 , 37.2365 , -113.348 , 34.2325
1.49 , 27.8878 , -115.447 , 34.0165
1.49 , 37.2365 , -113.348 , 34.2325
1.5 , 27.674 , -115.376 , 34.1353
1.5 , 37.2365 , -113.348 , 34.2325
1.51 , 28.1729 , -115.4 , 34.1828
1.51 , 37.2365 , -113.348 , 34.2325
1.52 , 26.8664 , -115.281 , 34.2303
1.52 , 37.2365 , -113.348 , 34.2325
1.53 , 26.5101 , -115.4 , 34.2303
1.53 , 37.2365 , -113.348 , 34.2325
1.54 , 28.9093 , -115.328 , 34.1828
1.54 , 37.2365 , -113.348 , 34.2325
1.55 , 24.6335 , -115.423 , 34.2065
1.55 , 37.2365 , -113.348 , 34.2325
1.56 , 25.7737 , -115.328 , 34.1828
1.56 , 37.2365 , -113.348 , 34.2325
1.57 , 25.4649 , -115.4 , 34.2303
1.57 , 37.2365 , -113.348 , 34.2325
1.58 , 24.5147 , -115.352 , 34.2065
1.58 , 37.2365 , -113.348 , 34.2325
1.59 , 25.0373 , -115.352 , 34.2065
1.59 , 37.2365 , -113.348 , 34.2325
1.6 , 25.1085 , -115.352 , 34.2065
1.6 , 37.2365 , -113.348 , 34.2325
1.61 , 25.2036 , -115.138 , 34.2065
1.61 , 37.2365 , -113.348 , 34.2325
1.62 , 26.0587 , -115.233 , 34.2065
1.62 , 37.2365 , -113.348 , 34.2325
1.63 , 25.8687 , -115.186 , 34.2303
1.63 , 37.2365 , -113.348 , 34.2325
1.64 , 25.6787 , -115.043 , 34.2065
1.64 , 37.2365 , -113.348 , 34.2325
1.65 , 27.0327 , -115.233 , 34.2303
1.65 , 37.2365 , -113.348 , 34.2325
1.66 , 27.0564 , -115.257 , 34.4678
1.66 , 37.2365 , -113.348 , 34.2325
1.67 , 27.2702 , -115.305 , 34.8242
1.67 , 37.2365 , -113.348 , 34.2325
1.68 , 27.6503 , -115.305 , 34.7054
1.68 , 37.2365 , -113.348 , 34.2325
1.69 , 27.4365 , -115.257 , 34.9904
1.69 , 37.2365 , -113.348 , 34.2325
1.7 , 27.579 , -115.257 , 35.0379
1.7 , 37.2365 , -113.348 , 34.2325
1.71 , 27.8403 , -115.305 , 34.9667
1.71 , 37.2365 , -113.348 , 34.2325
1.72 , 27.8641 , -115.305 , 35.2517
1.72 , 37.2365 , -113.348 , 34.2325
1.73 , 28.0304 , -115.186 , 34.5153
1.73 , 37.2365 , -113.348 , 34.2325
1.74 , 28.2917 , -115.352 , 35.8931
1.74 , 37.2365 , -113.348 , 34.2325
1.75 , 27.8878 , -115.281 , 35.7268
1.75 , 37.2365 , -113.348 , 34.2325
1.76 , 27.9828 , -115.328 , 35.7268
1.76 , 37.2365 , -113.348 , 34.2325
1.77 , 28.7667 , -115.305 , 35.9881
1.77 , 37.2365 , -113.348 , 34.2325
1.78 , 28.8618 , -115.328 , 35.7268
1.78 , 37.2365 , -113.348 , 34.2325
1.79 , 29.3131 , -115.305 , 35.2992
1.79 , 37.2365 , -113.348 , 34.2325
1.8 , 29.7407 , -114.972 , 35.6081
1.8 , 37.2365 , -113.348 , 34.2325
1.81 , 29.7169 , -115.067 , 35.0142
1.81 , 37.2365 , -113.348 , 34.2325
1.82 , 29.7644 , -114.948 , 35.3943
1.82 , 37.2365 , -113.348 , 34.2325
1.83 , 30.1445 , -115.043 , 35.5368
1.83 , 37.2365 , -113.348 , 34.2325
1.84 , 30.4533 , -114.877 , 35.1567
1.84 , 37.2365 , -113.348 , 34.2325
1.85 , 30.4771 , -114.948 , 35.7031
